"movie_id","movie_name","movie_distributor","movie_genre"
"Adventure_2004_47","Good Boy!","MGM","Adventure"
"Adventure_2005_1","Star Wars Ep. III: Revenge …","20th Century Fox","Adventure"
"Adventure_2005_2","Harry Potter and the Goblet…","Warner Bros.","Adventure"
"Adventure_2005_3","The Chronicles of Narnia: T…","Walt Disney","Adventure"
"Adventure_2005_4","Charlie and the Chocolate F…","Warner Bros.","Adventure"
"Adventure_2005_5","Madagascar","Dreamworks SKG","Adventure"
"Adventure_2005_6","King Kong","Universal","Adventure"
"Adventure_2005_7","Chicken Little","Walt Disney","Adventure"
"Adventure_2005_8","Robots","20th Century Fox","Adventure"
"Adventure_2005_9","Sahara","Paramount Pictures","Adventure"
"Adventure_2005_10","Herbie: Fully Loaded","Walt Disney","Adventure"
"Adventure_2005_11","Sky High","Walt Disney","Adventure"
"Adventure_2005_12","Wallace & Gromit: The Curse…","Dreamworks SKG","Adventure"
"Adventure_2005_13","Corpse Bride","Warner Bros.","Adventure"
"Adventure_2005_14","The Hitchhiker's Guide to t…","Walt Disney","Adventure"
"Adventure_2005_15","Cheaper by the Dozen 2","20th Century Fox","Adventure"
"Adventure_2005_16","Racing Stripes","Warner Bros.","Adventure"
"Adventure_2005_17","The Legend of Zorro","Sony Pictures","Adventure"
"Adventure_2005_18","The Adventures of Sharkboy …","Miramax/Dimension","Adventure"
"Adventure_2005_19","The Brothers Grimm","Miramax/Dimension","Adventure"
"Adventure_2005_20","Zathura","Sony Pictures","Adventure"
"Adventure_2005_21","Lemony Snicket's A Series o…","Paramount Pictures","Adventure"
"Adventure_2005_22","Valiant","Walt Disney","Adventure"
"Adventure_2005_23","Into the Blue","Sony Pictures","Adventure"
"Adventure_2005_24","Ocean's Twelve","Warner Bros.","Adventure"
"Adventure_2005_25","National Treasure","Walt Disney","Adventure"
"Adventure_2005_26","Pooh's Heffalump Movie","Walt Disney","Adventure"
"Adventure_2005_27","The Polar Express","Warner Bros.","Adventure"
"Adventure_2005_28","Son of the Mask","New Line","Adventure"
"Adventure_2005_29","The Incredibles","Walt Disney","Adventure"
"Adventure_2005_30","Hauru no ugoku shiro","Walt Disney","Adventure"
"Adventure_2005_31","Flight of the Phoenix","20th Century Fox","Adventure"
"Adventure_2005_32","SpongeBob SquarePants: The …","Paramount Pictures","Adventure"
"Adventure_2005_33","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2005_34","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2005_35","Bunty Aur Babli","Yash Raj Films","Adventure"
"Adventure_2005_36","Duma","Warner Bros.","Adventure"
"Adventure_2005_37","Shark Tale","Dreamworks SKG","Adventure"
"Adventure_2005_38","Alien Adventure","nWave Pictures","Adventure"
"Adventure_2005_39","The New World","New Line","Adventure"
"Adventure_2005_40","Young Black Stallion","Walt Disney","Adventure"
"Adventure_2005_41","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2006_1","Pirates of the Caribbean: D…","Walt Disney","Adventure"
"Adventure_2006_2","Cars","Walt Disney","Adventure"
"Adventure_2006_3","Superman Returns","Warner Bros.","Adventure"
"Adventure_2006_4","Ice Age: The Meltdown","20th Century Fox","Adventure"
"Adventure_2006_5","Happy Feet","Warner Bros.","Adventure"
"Adventure_2006_6","Over the Hedge","Paramount Pictures","Adventure"
"Adventure_2006_7","Night at the Museum","20th Century Fox","Adventure"
"Adventure_2006_8","Open Season","Sony Pictures","Adventure"
"Adventure_2006_9","The Santa Clause 3: The Esc…","Walt Disney","Adventure"
"Adventure_2006_10","The Pink Panther","Sony Pictures","Adventure"
"Adventure_2006_11","Eight Below","Walt Disney","Adventure"
"Adventure_2006_12","The Chronicles of Narnia: T…","Walt Disney","Adventure"
"Adventure_2006_13","Monster House","Sony Pictures","Adventure"
"Adventure_2006_14","Barnyard: The Original Part…","Paramount Pictures","Adventure"
"Adventure_2006_15","R.V.","Sony Pictures","Adventure"
"Adventure_2006_16","Flushed Away","Paramount Pictures","Adventure"
"Adventure_2006_17","Poseidon","Warner Bros.","Adventure"
"Adventure_2006_18","Curious George","Universal","Adventure"
"Adventure_2006_19","Eragon","20th Century Fox","Adventure"
"Adventure_2006_20","Hoodwinked","Weinstein Co.","Adventure"
"Adventure_2006_21","King Kong","Universal","Adventure"
"Adventure_2006_22","Nanny McPhee","Universal","Adventure"
"Adventure_2006_23","The Wild","Walt Disney","Adventure"
"Adventure_2006_24","Cheaper by the Dozen 2","20th Century Fox","Adventure"
"Adventure_2006_25","Garfield: A Tail of Two Kit…","20th Century Fox","Adventure"
"Adventure_2006_26","The Ant Bully","Warner Bros.","Adventure"
"Adventure_2006_27","Unaccompanied Minors","Warner Bros.","Adventure"
"Adventure_2006_28","Harry Potter and the Goblet…","Warner Bros.","Adventure"
"Adventure_2006_29","Everyone's Hero","20th Century Fox","Adventure"
"Adventure_2006_30","The New World","New Line","Adventure"
"Adventure_2006_31","Zoom","Sony Pictures","Adventure"
"Adventure_2006_32","Hoot","New Line","Adventure"
"Adventure_2006_33","Doogal","Weinstein Co.","Adventure"
"Adventure_2006_34","The Polar Express","Warner Bros.","Adventure"
"Adventure_2006_35","Chicken Little","Walt Disney","Adventure"
"Adventure_2006_36","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2006_37","The Celestine Prophecy","Ram Entertainment","Adventure"
"Adventure_2006_38","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2006_39","Lassie","IDP/Goldwyn/Roadside","Adventure"
"Adventure_2006_40","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2006_41","Romeo & Juliet: Sealed with…","Indican Pictures","Adventure"
"Adventure_2006_42","Kaptein Sabeltann","Indican Pictures","Adventure"
"Adventure_2006_43","Wallace & Gromit: The Curse…","Dreamworks SKG","Adventure"
"Adventure_2006_44","Alien Adventure","nWave Pictures","Adventure"
"Adventure_2007_1","Spider-Man 3","Sony Pictures","Adventure"
"Adventure_2007_2","Shrek the Third","Paramount Pictures","Adventure"
"Adventure_2007_3","Pirates of the Caribbean: A…","Walt Disney","Adventure"
"Adventure_2007_4","Harry Potter and the Order …","Warner Bros.","Adventure"
"Adventure_2007_5","Ratatouille","Walt Disney","Adventure"
"Adventure_2007_6","The Simpsons Movie","20th Century Fox","Adventure"
"Adventure_2007_7","National Treasure: Book of …","Walt Disney","Adventure"
"Adventure_2007_8","Alvin and the Chipmunks","20th Century Fox","Adventure"
"Adventure_2007_9","Night at the Museum","20th Century Fox","Adventure"
"Adventure_2007_10","Bee Movie","Paramount Pictures","Adventure"
"Adventure_2007_11","Ocean's Thirteen","Warner Bros.","Adventure"
"Adventure_2007_12","Meet the Robinsons","Walt Disney","Adventure"
"Adventure_2007_13","Beowulf","Paramount Pictures","Adventure"
"Adventure_2007_14","The Golden Compass","New Line","Adventure"
"Adventure_2007_15","Surf's Up","Sony Pictures","Adventure"
"Adventure_2007_16","Underdog","Walt Disney","Adventure"
"Adventure_2007_17","Stardust","Paramount Pictures","Adventure"
"Adventure_2007_18","Mr. Bean’s Holiday","Universal","Adventure"
"Adventure_2007_19","The Water Horse: Legend of …","Sony Pictures","Adventure"
"Adventure_2007_20","Happy Feet","Warner Bros.","Adventure"
"Adventure_2007_21","The Last Mimzy","New Line","Adventure"
"Adventure_2007_22","Eragon","20th Century Fox","Adventure"
"Adventure_2007_23","Happily N'Ever After","Lionsgate","Adventure"
"Adventure_2007_24","Arthur et les Minimoys","Weinstein Co.","Adventure"
"Adventure_2007_25","The Darjeeling Limited","Fox Searchlight","Adventure"
"Adventure_2007_26","The Seeker: The Dark is Rising","20th Century Fox","Adventure"
"Adventure_2007_27","Flushed Away","Paramount Pictures","Adventure"
"Adventure_2007_28","The Polar Express","Warner Bros.","Adventure"
"Adventure_2007_29","Santa vs. The Snowman","IMAX Films","Adventure"
"Adventure_2007_30","Unaccompanied Minors","Warner Bros.","Adventure"
"Adventure_2007_31","The Ten Commandments","Rocky Mountain Pi…","Adventure"
"Adventure_2007_32","The Santa Clause 3: The Esc…","Walt Disney","Adventure"
"Adventure_2007_33","T-Rex: Back to the Cretaceous","IMAX Films","Adventure"
"Adventure_2007_34","Haunted Castle","nWave Pictures","Adventure"
"Adventure_2007_35","Romeo & Juliet: Sealed with…","Indican Pictures","Adventure"
"Adventure_2007_36","Passage to Zarahemla","Somerset Films","Adventure"
"Adventure_2007_37","Dus Kahaniyaan","Eros Entertainment","Adventure"
"Adventure_2007_38","The Holy Mountain","Abkco Films","Adventure"
"Adventure_2008_1","Iron Man","Paramount Pictures","Adventure"
"Adventure_2008_2","Indiana Jones and the Kingd…","Paramount Pictures","Adventure"
"Adventure_2008_3","WALL-E","Walt Disney","Adventure"
"Adventure_2008_4","Kung Fu Panda","Paramount Pictures","Adventure"
"Adventure_2008_5","Madagascar: Escape 2 Africa","Paramount Pictures","Adventure"
"Adventure_2008_6","Horton Hears a Who","20th Century Fox","Adventure"
"Adventure_2008_7","The Chronicles of Narnia: P…","Walt Disney","Adventure"
"Adventure_2008_8","The Incredible Hulk","Universal","Adventure"
"Adventure_2008_9","Bolt","Walt Disney","Adventure"
"Adventure_2008_10","The Mummy: Tomb of the Drag…","Universal","Adventure"
"Adventure_2008_11","Journey to the Center of th…","Warner Bros.","Adventure"
"Adventure_2008_12","10,000 B.C.","Warner Bros.","Adventure"
"Adventure_2008_13","Beverly Hills Chihuahua","Walt Disney","Adventure"
